คำไทย,POS,คำแปล,sense
ชื่อสามัญ,NCMN,,
ชื่อสากล,NCMN,,
การจัดหมวดหมู่,NCMN,classification ,1
อนุกรมวิธาน,NCMN,taxonomy,2
เดอ แคนโดลลี,NPRP,,
การจำแนก,NCMN,classification,1
ตัวอย่าง,NPRP,theory of evolution,1
ชาลส์ ดาร์วิน,NPRP,Charles Darwin,1
กายวิภาค,NCMN,anatomy,1
แคนโดลลี,NPRP,,
พืช,NCMN,plant,2
รถด่วน,NCMN,express,2
การทำงาน,NCMN,use,1
อำนาจ,NCMN,influence,1
ฮุมโบลด์,NPRP,humboldt,2
วิลเลียม ฮัดสัน,NPRP,hudson,2
รอย แอนดรูวส์,NPRP,andrews,1
ถิ่น,NCMN,area,1
นักพันธุศาสตร์,NCMN,geneticist,1
คุณลักษณะ,NCMN,character,6
